developer,year,app_name,price
Kotoshiro,2018.0,Lost Summoner Kitty,4.99
Secret Level SRL,2018.0,Ironbound,0.0
Poolians.com,2017.0,Real Pool 3D - Poolians,0.0
彼岸领域,2017.0,弹炸人2222,0.99
Trickjump Games Ltd,2018.0,Battle Royale Trainer,3.99
Poppermost Productions,2018.0,SNOW - All Access Basic Pass,9.99
Poppermost Productions,2018.0,SNOW - All Access Pro Pass,18.99
Poppermost Productions,2018.0,SNOW - All Access Legend Pass,29.99
Stegalosaurus Game Development,2018.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99
Copperpick Studio,2018.0,Beach Rules,3.99
Ghulam Jewel,2018.0,Planetarium 2 - Zen Odyssey,2.99
Apillo,2018.0,The first thrust of God,1.59
Poppermost Productions,2018.0,SNOW - Starter Pack,14.99
Apillo,2018.0,The first thrust of God - All Aircrafts,1.99
Poppermost Productions,2018.0,SNOW - Lifetime Pack,59.99
Tero Lunkka,2018.0,The Warrior Of Treasures,0.99
FrozenPepper,2017.0,RC Plane 3 - Canyon Scenario,2.99
FrozenPepper,2017.0,RC Plane 3 - F-53B,2.99
Casey Labrack,2018.0,DinoBlaster,4.99
Stainless Games Ltd,1997.0,Carmageddon Max Pack,9.99
Valve,1998.0,Half-Life,9.99
dev4play,2016.0,Fallen Mage,1.99
ETGgames,2018.0,Vaporwave Simulator,0.99
The Commander,2018.0,Underdone - Soundtrack,8.99
"lalalaZero,Urbanoff",2018.0,Bitcoin Clicker,0.99
Strategy First,2006.0,Disciples II: Gallean's Return,6.99
Strategy First,2006.0,Disciples II: Rise of the Elves,6.99
Outerlight Ltd.,2006.0,The Ship: Murder Party,9.99
Ultraint,2017.0,Souland,7.99
TPM.CO SOFT WORKS,2017.0,TAROTICA VOO DOO,10.99
Wonderbox Games,2017.0,Chronicles of Vinland,9.99
Wonderbox Games,2017.0,Orbitality,9.99
Mad Unicorn Games,2017.0,Atomic Adam: Episode 1,1.99
Emanon Studios,2017.0,Mirt. Tales of the Cold Land. Chapter 2,0.99
GlyphX Games,2005.0,Advent Rising,9.99
Introversion Software,2006.0,DEFCON,9.99
Outerlight Ltd.,2006.0,The Ship: Single Player,9.99
Facepunch Studios,2006.0,Garry's Mod,9.99
SimBin,2006.0,RACE - The WTCC Game,39.99
Unknown Worlds Entertainment,2006.0,Zen of Sudoku,0.0
"CINEMAX, s.r.o.",2006.0,Gumboy - Crazy Adventures™,4.99
Sick Puppies,2003.0,Ghost Master®,4.99
Deepred,2006.0,Vegas: Make It Big™,4.99
Funcom,2006.0,Dreamfall: The Longest Journey,19.99
Bugbear Entertainment,2006.0,FlatOut 2™,9.99
Bugbear Entertainment,2005.0,FlatOut,7.49
"CAPCOM Co., Ltd.",2007.0,Lost Planet™: Extreme Condition,14.99
"FireFly Studios,Firaxis Games",2006.0,CivCity: Rome,9.99
Arkane Studios,2002.0,Arx Fatalis,4.99
Funcom,2000.0,The Longest Journey,9.99
Firaxis Games,2006.0,Civilization IV®: Warlords,4.99
PopTop,2003.0,Railroad Tycoon 3,9.99
"Firaxis Games,Feral Interactive (Mac)",2006.0,Sid Meier's Railroads!,9.99
PopTop,1998.0,Railroad Tycoon II Platinum,4.99
Elephant Games,2007.0,RIP - Trilogy™,4.99
"MicroProse Software, Inc",1995.0,X-COM: Terror From the Deep,4.99
"Crystal Dynamics,Feral Interactive (Mac)",2007.0,Tomb Raider: Anniversary,8.99
"CAPCOM Co., Ltd.",2006.0,Devil May Cry® 3 Special Edition,19.99
Telltale Games,2006.0,Sam & Max 101: Culture Shock,19.99
id Software,1996.0,Final DOOM,4.99
Telltale Games,2006.0,Sam & Max 102: Situation: Comedy,19.99
id Software,1995.0,Ultimate Doom,4.99
id Software,1995.0,Master Levels for Doom II,14.99
id Software,1994.0,DOOM II,4.99
id Software,1994.0,Wolfenstein 3D,4.99
Gray Matter Studios,2001.0,Return to Castle Wolfenstein,4.99
Ritual Entertainment,1997.0,QUAKE Mission Pack 1: Scourge of Armagon,2.99
id Software,1993.0,Spear of Destiny,2.99
Terminal Reality,2003.0,BloodRayne,9.99
Rogue Entertainment,2007.0,QUAKE Mission Pack 2: Dissolution of Eternity,2.99
id Software,2007.0,QUAKE,4.99
Metamorf,2007.0,Genesis Rising,4.99
Relic Entertainment,2006.0,"Warhammer® 40,000: Dawn of War® – Winter Assault",12.99
"2K Boston,2K Australia",2007.0,BioShock™,19.99
Relic Entertainment,2006.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99
Relic Entertainment,2006.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99
The Creative Assembly,2004.0,Rome: Total War™ - Collection,9.99
The Creative Assembly,2006.0,Rome: Total War™ - Alexander,4.99
Big Fish Games,2007.0,Mystery Case Files: Madame Fate®,6.99
Rockstar North,2004.0,Manhunt,9.99
Rockstar San Diego,2003.0,Midnight Club 2,9.99
Remedy Entertainment,2003.0,Max Payne 2: The Fall of Max Payne,9.99
Crystal Dynamics,2006.0,Tomb Raider: Legend,6.99
Remedy Entertainment,2001.0,Max Payne,9.99
EA Los Angeles,2008.0,Command & Conquer: Red Alert 3,19.99
Infinite Interactive,2007.0,PuzzleQuest: Challenge of the Warlords,9.99
Momentum Digital Media Technologies,2007.0,Culpa Innata,9.99
