,price,id
0,4.99,761140
1,0.0,643980
2,0.0,670290
3,0.99,767400
4,2.99,773570
5,3.99,772540
6,9.99,774276
7,18.99,774277
8,29.99,774278
11,0.0,724910
12,10.99,770380
13,3.99,768880
14,2.99,765320
15,1.59,773650
16,14.99,774271
17,1.99,773690
18,59.99,774279
19,4.99,772590
20,2.99,640250
21,0.99,768060
22,0.99,711440
23,2.99,775880
24,2.99,775881
25,4.99,653960
26,4.99,777910
27,9.99,282010
28,9.99,70
29,1.99,752360
30,3.99,594200
33,0.99,766850
37,8.99,754360
38,0.99,716110
39,6.99,1640
40,6.99,1630
41,9.99,2400
46,7.99,759920
48,10.99,603280
49,9.99,753110
50,9.99,753100
51,29.99,769350
52,1.99,764280
54,0.99,758550
55,9.99,3800
56,9.99,1520
57,9.99,2420
58,9.99,4000
59,39.99,4230
60,0.0,4900
61,4.99,2520
62,4.99,6200
63,4.99,6210
64,19.99,6300
65,9.99,2990
66,7.49,6220
67,14.99,6510
68,9.99,3980
69,4.99,1700
70,9.99,6310
71,4.99,3990
72,9.99,7610
73,9.99,7600
74,4.99,7620
75,4.99,2540
76,4.99,7650
77,8.99,8000
78,19.99,6550
79,19.99,8200
80,4.99,2290
82,19.99,8210
83,4.99,2280
84,14.99,9160
85,4.99,2300
86,4.99,2270
87,4.99,9010
88,2.99,9040
89,2.99,9000
90,9.99,3810
91,2.99,9030
92,4.99,2310
93,4.99,3230
94,12.99,9310
95,19.99,7670
96,12.99,4570
97,12.99,4580
98,9.99,4760
99,4.99,4770
100,6.99,50970
103,9.99,12130
104,9.99,12160
105,9.99,12150
106,6.99,7000
107,9.99,12140
108,19.99,17480
109,9.99,12500
110,9.99,12310
111,9.99,12510
112,9.99,12530
113,9.99,12520
114,5.99,8100
115,7.99,2780
116,9.99,9730
117,9.99,9710
118,4.99,9800
119,2.99,9760
120,19.99,2700
121,2.99,2710
122,14.99,13200
123,9.99,13250
124,4.99,13000
125,9.99,13560
126,9.99,13520
127,9.99,13240
128,9.99,13540
129,9.99,15210
130,9.99,16180
131,4.99,3520
132,9.99,15970
133,9.99,15950
134,9.99,15960
135,9.99,15900
136,9.99,15910
137,9.99,15930
138,9.99,15160
139,9.99,15920
140,9.99,15080
141,9.99,15200
142,9.99,15320
143,9.99,15240
144,9.99,8310
145,9.99,12600
146,9.99,8320
147,9.99,12590
148,9.99,12580
149,9.99,12560
150,9.99,12570
151,9.99,12540
152,9.99,11050
154,9.99,11040
155,4.99,19500
156,7.99,11260
157,4.99,19200
158,19.99,12360
159,2.99,15710
160,2.99,15700
161,7.99,8660
162,4.99,7770
163,4.99,7660
164,4.99,7760
165,9.99,20510
166,19.99,17330
167,19.99,17300
168,4.99,7730
169,9.99,20900
170,9.99,1530
171,2.99,8690
172,2.49,17120
173,19.99,16810
174,9.99,19830
175,19.99,21000
176,9.99,4460
177,9.99,17140
178,9.99,15390
179,4.99,21300
180,4.99,3050
181,9.99,15380
182,9.99,19800
183,9.99,15370
184,19.99,19930
185,9.99,15350
186,9.99,19810
187,4.99,3540
188,9.99,22000
189,15.99,2820
190,0.0,1230
191,4.99,18300
192,19.99,20200
193,14.99,12200
194,9.99,19900
195,4.99,11240
196,4.99,256522
197,4.99,275144
198,4.99,256521
199,4.99,222569
200,4.99,256535
201,4.99,256611
202,4.99,256576
203,9.99,9480
204,19.99,17470
205,9.99,12770
206,19.99,17410
207,9.99,18500
208,14.99,16450
209,7.99,15400
210,9.99,18600
211,4.99,11340
212,9.99,25830
213,5.99,23460
214,2.99,10600
215,4.99,21010
216,9.99,22180
217,19.99,13210
218,9.99,12640
220,4.99,27020
221,19.99,24740
223,9.99,26000
224,1.25,26006
225,1.25,26005
226,4.99,11330
227,9.99,27800
228,14.99,9850
229,4.99,3600
230,19.99,29580
231,19.99,29540
232,19.99,29560
233,29.99,29570
234,14.99,23700
235,9.99,16060
236,9.99,1930
237,9.99,18470
238,9.99,7510
239,9.99,22200
240,1.25,26007
241,6.99,25900
242,9.99,16200
243,2.99,7840
244,4.99,8890
245,4.99,8880
246,14.99,34500
247,0.0,1280
248,19.99,10150
249,4.99,29160
250,4.99,12470
251,4.99,22340
252,14.99,22330
253,14.99,22320
254,19.99,900883
255,4.99,12440
256,9.99,32710
257,9.99,32740
258,4.99,12460
259,9.99,21980
260,6.99,31860
261,6.99,31900
262,6.99,31920
263,6.99,31930
264,0.0,35800
265,9.99,12690
266,19.99,31170
267,19.99,21660
268,9.99,6080
269,5.99,6010
270,5.99,6090
271,9.99,6060
272,5.99,32310
273,19.99,32330
274,9.99,32360
275,12.99,35300
276,9.99,35310
277,6.99,31980
279,9.99,10140
280,19.99,10100
281,19.99,10130
282,19.99,10110
283,7.99,1256
284,9.99,10120
285,6.99,33520
286,4.99,3610
287,9.99,21680
288,9.99,21670
289,4.99,21030
290,4.99,36000
291,9.99,32370
292,9.99,29180
293,9.99,38410
294,9.99,38420
295,9.99,38430
296,9.99,38440
298,19.99,31180
299,19.99,37960
300,9.99,38000
301,4.99,37400
302,9.99,13570
303,9.99,11390
304,4.99,34420
305,14.99,43100
306,9.99,33730
307,9.99,35000
308,19.99,39392
309,19.99,39391
310,2.99,37600
311,24.99,24029
312,9.99,32140
313,19.99,31190
314,19.99,32770
315,17.99,208306
316,9.99,37300
317,19.99,208300
318,9.99,40300
319,3.99,35070
320,9.99,10606
321,9.99,40700
322,9.99,24840
323,19.99,24870
324,14.99,41500
325,19.99,24800
326,19.99,901735
327,4.99,42800
328,9.99,39560
329,14.99,39550
330,9.99,40330
331,4.99,40320
332,19.99,31200
333,4.99,3130
334,4.99,41100
335,9.99,39540
336,9.99,34640
337,9.99,34630
338,6.99,42200
339,14.99,41000
340,9.99,40340
341,19.99,17450
342,4.99,37100
343,1.99,37500
344,9.99,42810
345,19.99,10180
346,19.99,32440
347,4.99,11450
348,9.99,12710
349,14.99,24790
350,4.99,29120
351,19.99,24810
352,14.99,41800
353,9.99,45300
354,9.99,41900
355,0.0,35420
356,19.99,32430
357,9.99,25806
358,19.99,22370
359,5.99,41802
360,9.99,38080
361,9.99,38090
362,9.99,38100
363,9.99,38070
364,1.99,38210
365,19.99,45700
366,9.99,46410
367,9.99,38110
368,0.0,17570
369,4.99,38130
370,9.99,38160
371,9.99,38150
372,4.99,38120
373,4.99,38140
374,6.99,36300
375,6.99,36310
376,6.99,36320
377,9.99,37030
378,19.99,32450
380,4.99,44100
381,0.99,25960
382,6.99,46250
383,9.99,38180
384,7.49,10695
385,9.99,41050
386,19.99,24055
387,19.99,48700
388,4.99,39900
389,4.99,49900
390,9.99,42120
391,19.99,12220
392,4.99,45730
393,0.99,45400
394,9.99,49600
395,19.99,901399
396,9.99,43500
397,4.99,45302
398,4.99,40930
399,4.99,39640
400,4.99,39630
401,1.99,23150
402,9.99,50940
403,9.99,50920
